"target","var","RMSE"
"SalePrice","Size.sqf.",75871.3088360518
"SalePrice","HallwayType",79745.3661883137
"SalePrice","TimeToSubway",83814.8273125704
"SalePrice","TimeToSubway_Novs05vsOther",84107.7098371888
"SalePrice","N_FacilitiesInApt_123vs45678vs910",84470.0564117472
"SalePrice","YearBuilt_2005",84603.1746492085
"SalePrice","TimeToSubway_05vsOther",84712.9809039586
"SalePrice","N_FacilitiesNearBy.PublicOffice._gr_stat",86933.9610390983
"SalePrice","N_FacilitiesNearBy.ETC._0vsOther",87019.2561508187
"SalePrice","SubwayStation",89979.7530147493
"SalePrice","YearBuilt_2000_2010",90221.9755510692
"SalePrice","N_FacilitiesNearby.corr_neg",90620.707158473
"SalePrice","N_FacilitiesNearBy.PublicOffice._splitAt4",90808.1251755153
"SalePrice","N_FacilitiesInApt",91169.2430471035
"SalePrice","N_FacilitiesNearBy.Total._cut",91550.8023953446
"SalePrice","N_FacilitiesNearBy.PublicOffice.",92259.4071435665
"SalePrice","N_Parkinglot.Basement.",92586.1869492749
"SalePrice","N_SchoolNearBy.High._0vs12vs345",92669.5382491257
"SalePrice","N_SchoolNearBy.University._0vs12vs345",93345.4914837204
"SalePrice","N_FacilitiesNearBy.ETC.",93550.6942458342
"SalePrice","YearBuilt",93583.4346898269
"SalePrice","SubwayStation_byProxy2",93605.6994966645
"SalePrice","N_SchoolNearBy.University._012vs345",93645.2829254369
"SalePrice","N_FacilitiesNearBy.Total.",94337.0449098736
"SalePrice","N_SchoolNearBy.University.",95555.4682133062
"SalePrice","SubwayStation_byProxy1",96408.4996459791
"SalePrice","N_SchoolNearBy.Elementary._cat",96765.7189613076
"SalePrice","N_SchoolNearBy.Total.",96835.9958118529
"SalePrice","N_SchoolNearBy.High.",97275.9218948881
"SalePrice","N_FacilitiesNearBy.Dpartmentstore._01vs2",97913.2520109876
"SalePrice","N_SchoolNearBy.Elementary.",98015.4295201251
"SalePrice","N_FacilitiesNearBy.Park._01vs2",98251.251079187
"SalePrice","YrSold_2011_2014",98318.3655772287
"SalePrice","N_manager",98954.4566049375
"SalePrice","YrSold",99064.7589470067
"SalePrice","YrSold_2013",99136.1677937167
"SalePrice","Floor",99377.6570272343
"SalePrice","N_FacilitiesNearby.corr_pos",100267.427928422
"SalePrice","N_FacilitiesNearBy.Park.",100706.105524467
"SalePrice","N_FacilitiesNearBy.Dpartmentstore.",100982.077500577
"SalePrice","N_SchoolNearBy.Middle._chr",101153.137947929
"SalePrice","N_manager_splitAt4",101297.08459207
"SalePrice","TimeToBusStop",101625.828817422
"SalePrice","N_FacilitiesNearBy.Hospital.",102275.821212716
"SalePrice","N_SchoolNearBy.Middle._0vs123vs4",102698.884011001
"SalePrice","AptManageType",103067.806136898
"SalePrice","N_elevators",103568.408226374
"SalePrice","N_SchoolNearBy.Middle.",103980.290145432
"SalePrice","N_APT",104005.276224544
"SalePrice","N_FacilitiesNearBy.Hospital._0vs12",104169.210739179
"SalePrice","N_Parkinglot.Ground.",104197.011624778
"SalePrice","MonthSold",104226.192841463
"SalePrice","N_FacilitiesNearBy.Mall.",104826.241160292
"SalePrice","HeatingType",105176.558714891
"SalePrice","SalePrice",105269.451215493
