"Target","Var1","Var2","Var3","RMSE"
"SalePrice","Size.sqf.","YearBuilt_2000_2010","YrSold",49726.4935723572
"SalePrice","Size.sqf.","YearBuilt","YrSold",50097.9719673258
"SalePrice","Size.sqf.","YearBuilt_2000_2010","YrSold_2011_2014",50171.1800198512
"SalePrice","Size.sqf.","YearBuilt_2005","YrSold",50452.3863067791
"SalePrice","Size.sqf.","YearBuilt","YrSold_2011_2014",50545.2744277879
"SalePrice","N_FacilitiesInApt","Size.sqf.","YrSold_2011_2014",51514.8847101272
"SalePrice","Size.sqf.","YearBuilt_2005","YrSold_2011_2014",51537.3390816138
"SalePrice","N_FacilitiesInApt","Size.sqf.","YrSold",51610.7418716175
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","YrSold",51762.7509203964
"SalePrice","Size.sqf.","TimeToSubway","YrSold",51906.7707665391
"SalePrice","Size.sqf.","YearBuilt_2000_2010","YrSold_2013",52159.4918567839
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","YrSold_2011_2014",52161.7101197098
"SalePrice","N_FacilitiesNearBy.PublicOffice._gr_stat","Size.sqf.","YrSold",52290.5310693519
"SalePrice","Size.sqf.","YearBuilt","YrSold_2013",52447.0689737641
"SalePrice","HallwayType","Size.sqf.","YrSold",52537.2915983636
"SalePrice","Size.sqf.","TimeToSubway","YrSold_2011_2014",52651.5492668438
"SalePrice","HallwayType","Size.sqf.","YrSold_2011_2014",52984.6601425128
"SalePrice","Size.sqf.","YearBuilt_2005","YrSold_2013",53152.3199142599
"SalePrice","N_FacilitiesInApt","Size.sqf.","YrSold_2013",53199.6968756933
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","YrSold_2013",53539.0011226775
"SalePrice","Size.sqf.","TimeToSubway_Novs05vsOther","YrSold",53982.5684048696
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","YrSold",54301.4509234159
"SalePrice","N_FacilitiesNearBy.PublicOffice._gr_stat","Size.sqf.","YrSold_2011_2014",54453.3342056892
"SalePrice","Size.sqf.","TimeToSubway_05vsOther","YrSold",54548.8177948981
"SalePrice","N_FacilitiesNearBy.PublicOffice._splitAt4","Size.sqf.","YrSold",54572.3213177278
"SalePrice","N_FacilitiesInApt","Size.sqf.","SubwayStation",54641.3254237849
"SalePrice","Size.sqf.","TimeToSubway","YrSold_2013",54679.1655534718
"SalePrice","N_FacilitiesInApt_123vs45678vs910","Size.sqf.","YearBuilt_2000_2010",54689.4202161066
"SalePrice","N_FacilitiesInApt","Size.sqf.","YearBuilt_2005",54728.2558129416
